"INDEX","KEYVALUE.x","LABEL.x","RED.x","GREEN.x","BLUE.x","ALPHA.x","HEMISPHERE.x","NETWORK.x","NETWORKKEY.x","NETWORKSORTEDORDER.x","GLASSERLABELNAME.x","KEYVALUE.y","LABEL.y","RED.y","GREEN.y","BLUE.y","ALPHA.y","HEMISPHERE.y","NETWORK.y","NETWORKKEY.y","NETWORKSORTEDORDER.y","GLASSERLABELNAME.y","netho_diff_beta","netho_diff_t","netho_diff_para_p","netho_diff_para_q","netho_diff_beta_parasig","parcel_hc_mean","parcel_hc_sd","parcel_pt_mean","parcel_pt_sd"
243,243,"Frontoparietal-06_R-Ctx",255,255,0,255,"R","Frontoparietal",7,426,"R_8BM_ROI",243,"Frontoparietal-06_R-Ctx",255,255,0,255,"R","Frontoparietal",7,426,"R_8BM_ROI",-0.370994881494071,-3.1731616480093,0.00167043101299121,0.0249659829335761,-0.370994881494071,0.450885909250695,0.146293242419878,0.396473149413424,0.135959556977462
244,244,"Default-08_R-Ctx",255,0,0,255,"R","Default",9,590,"R_p32_ROI",244,"Default-08_R-Ctx",255,0,0,255,"R","Default",9,590,"R_p32_ROI",-0.0758845495086957,-0.60761232977237,0.543921760631983,0.795819953055811,NA,0.582592575467597,0.184270911038847,0.564633043685739,0.196189142257016
245,245,"Default-09_R-Ctx",255,0,0,255,"R","Default",9,591,"R_10r_ROI",245,"Default-09_R-Ctx",255,0,0,255,"R","Default",9,591,"R_10r_ROI",0.0323314580131394,0.255752908579065,0.798323573910602,0.928056121457897,NA,0.692376009033588,0.201755984306737,0.683713680069457,0.224454270222738
246,246,"Default-10_R-Ctx",255,0,0,255,"R","Default",9,592,"R_47m_ROI",246,"Default-10_R-Ctx",255,0,0,255,"R","Default",9,592,"R_47m_ROI",-0.231280896671775,-1.923434761205,0.0554077094784369,0.222980802752783,NA,0.577370731342967,0.185535783997595,0.530750670789021,0.187864844541339
247,247,"Default-11_R-Ctx",255,0,0,255,"R","Default",9,593,"R_8Av_ROI",247,"Default-11_R-Ctx",255,0,0,255,"R","Default",9,593,"R_8Av_ROI",0.028676751016379,0.228670952200402,0.819286398753058,0.934925519052295,NA,0.416137047156541,0.125899538807965,0.411207130341482,0.137355773179945
248,248,"Default-12_R-Ctx",255,0,0,255,"R","Default",9,594,"R_8Ad_ROI",248,"Default-12_R-Ctx",255,0,0,255,"R","Default",9,594,"R_8Ad_ROI",-0.0868821069638313,-0.764584750545706,0.445142698328885,0.725643576727909,NA,0.518541628673982,0.161927561828726,0.492657167301327,0.151982911558426
249,249,"Default-13_R-Ctx",255,0,0,255,"R","Default",9,595,"R_9m_ROI",249,"Default-13_R-Ctx",255,0,0,255,"R","Default",9,595,"R_9m_ROI",-0.237377751197579,-1.93505229337778,0.0539594430900221,0.220580510575276,NA,0.414266145071883,0.131918603153033,0.380341927632158,0.135856779888518
250,250,"Default-14_R-Ctx",255,0,0,255,"R","Default",9,596,"R_8BL_ROI",250,"Default-14_R-Ctx",255,0,0,255,"R","Default",9,596,"R_8BL_ROI",-0.298564895442498,-2.45649658030787,0.0146180009374395,0.105426794639715,NA,0.417707499370806,0.123351832398514,0.377380382614251,0.125474940967018
251,251,"Default-15_R-Ctx",255,0,0,255,"R","Default",9,597,"R_9p_ROI",251,"Default-15_R-Ctx",255,0,0,255,"R","Default",9,597,"R_9p_ROI",-0.228824157770971,-1.96073069692537,0.050870734473875,0.218805448279197,NA,0.553305847005772,0.182185109459856,0.505532910163162,0.176964267875248
252,252,"Default-16_R-Ctx",255,0,0,255,"R","Default",9,598,"R_10d_ROI",252,"Default-16_R-Ctx",255,0,0,255,"R","Default",9,598,"R_10d_ROI",-0.0456051235758169,-0.358689990444385,0.720088906239589,0.908380705044287,NA,0.440888258293196,0.187664416070946,0.42648638890285,0.204469738424416
