"","CBF","cbv","cmr02","cmruglu","G1.fMRI","intersubjvar","meg_alpha","meg_beta","meg_delta","meg_gamma1","meg_gamma2","meg_theta"
"lh_8BM",6433.99932617187,5053.13985351562,5154.50990234375,6987.1484375,4.98568217754364,0.629644659757614,0.192365910708904,0.102872071415186,0.348660371899605,0.0256407333165407,0.0115625500306487,0.318898366689682
"lh_p32",6207.20485276442,4078.1994535006,5027.80453725962,6384.88919771635,4.21762090462905,0.605633309254279,0.189129365178255,0.0939113695461016,0.384198289651137,0.0276645637618808,0.0151926284441008,0.289903784027466
"lh_10r",6382.13844517299,4126.79981340681,5345.35182407924,6757.39622279576,5.78527733257839,0.615823030471802,0.189552097448281,0.0918136098022972,0.390184119343758,0.0290590449502426,0.0170057499116021,0.282385383333479
"lh_47m",6279.62175641741,4599.79750279018,5195.84186662946,6842.77371651786,4.36295698370252,0.652282182659422,0.206905905689512,0.0910461683358465,0.384544215032033,0.0290057361125946,0.0183886712683099,0.270109304359981
"lh_8Av",6074.31806320441,3692.63466956967,5087.96301069416,6982.02945696721,6.38443408442325,0.626627477466083,0.199435934180119,0.108466915175563,0.346817583822813,0.0255025898213269,0.0118264011489075,0.30795056751517
"lh_8Ad",6157.1293285473,3889.25395903716,5120.87171399915,7010.56030273438,5.7798990623371,0.634657442569733,0.191628374763437,0.101983600673643,0.356007019812996,0.0251073685248156,0.0118744341354515,0.313399201309359
"lh_9m",5997.48751395089,4281.75443638393,4973.04539620536,6457.3723702567,6.28984285763332,0.623977388654436,0.177532929394926,0.0958324774035386,0.373275300434658,0.0287989186655198,0.0157940091698297,0.308766363774027
"lh_8BL",5646.52100929054,4066.68823902027,4617.51691828547,6290.60160209037,6.56988277950802,0.628424306173582,0.182555521259437,0.0988679014750429,0.357456728413298,0.0274003675660572,0.0140787933676227,0.319640679939373
"lh_9p",5713.72002377717,3662.61435334579,4785.19110903533,6359.8473271909,6.2818619168323,0.633763016565986,0.179377822772316,0.0961063557668873,0.3688451965218,0.0271449032361093,0.0143906770516997,0.314135040925897
"lh_10d",5867.11028053977,3882.39493963068,4985.3393022017,6542.50154474432,6.22762211019343,0.61197873137214,0.177942022681236,0.0949106328866699,0.379897706617009,0.0340567539022727,0.0212294342165644,0.291963451558893
"lh_8C",6381.12042720734,4096.97495039683,5353.2279343378,7390.15444413442,5.42514336109161,0.674197851665436,0.208390532504945,0.108126978552531,0.349667247325655,0.0245259353329265,0.0114416967456539,0.297847609198283
"lh_44",6352.56454190341,4415.61204944957,5425.68513627486,7084.23980158026,4.09437773850831,0.656324534253641,0.227641446007924,0.105936385521835,0.349058176306161,0.0267059368250722,0.0150718277912926,0.275586225092411
"lh_45",6203.15666975055,4279.9087256716,5202.25659608004,6918.62253289474,4.61897113089237,0.635340492976339,0.219115282098452,0.0986776214681174,0.364650899380968,0.0277962209493445,0.0163768172721591,0.273383162523571
"lh_47l",6133.37134415064,4824.40891050681,5184.61846454327,6729.82703575721,5.60622907907535,0.632583199403225,0.213929843444091,0.0933319844114475,0.377132107814153,0.0280348393970575,0.0174172600396933,0.27015396570548
"lh_a47r",5745.83895979256,3074.08145036369,4932.78535829741,6549.84140961746,5.85712725129621,0.611772773594692,0.198911588767479,0.0936890656835046,0.384797965658122,0.0327849433082959,0.0213185419360625,0.268497895577858
"lh_6r",6352.11464436849,4252.92745632596,5370.37481689453,6827.27311876085,-1.46952364076343,0.60996309419473,0.243235428507129,0.107184777553711,0.33925537019968,0.0248727218454911,0.0138167483318183,0.271634959926208
"lh_IFJa",6374.96153428819,4552.27370876736,5426.06633843316,7235.25014919705,1.56943805764119,0.662877172231674,0.219102466271983,0.10703430386881,0.350113338066472,0.0245160956142677,0.0121709754587048,0.287062828739484
"lh_IFJp",6398.12025035511,4262.23681640625,5532.19161339962,7213.47222715436,1.55210016396913,0.646582679315047,0.226333056886991,0.108225371349942,0.341814194664811,0.0232552696358074,0.0107982988102418,0.289573808511098
